case_id,company,ticker,fiscal_year,period_end,category,fraud_type,data_source,source_url,notes,Sales,CostOfGoodsSold,Receivables,CurrentAssets,PropertyPlantEquipment,Securities,Assets,Depreciation,SGA,CurrentLiabilities,LongTermDebt,NetIncome,OperatingCashFlow,TotalLiabilities,RetainedEarnings,EBIT,StockholdersEquity,SharesOutstanding,IncomeTaxExpense,InterestExpense
TEXTBOOK_DEMO,Synthetic Channel-Stuffer Inc,DEMO,2022,2022-12-31,Synthetic,"Synthetic baseline (fictional, for loader self-test)",synthetic,n/a,"Fictional figures; NOT a real company. Baseline year.",1000,500,100,300,400,50,1000,50,150,200,300,100,120,500,50,130,500,1000,30,20
TEXTBOOK_DEMO,Synthetic Channel-Stuffer Inc,DEMO,2023,2023-12-31,Synthetic,"Synthetic revenue manipulation (fictional, for loader self-test)",synthetic,n/a,"Fictional figures; NOT a real company. Receivables & accruals spike. Expected M=-0.084, Z=2.635.",1500,800,350,600,450,50,1500,60,200,300,400,250,50,700,100,280,800,1100,80,25
ENRON,Enron Corp,ENE,1999,1999-12-31,Fraud,"SPEs / mark-to-market revenue inflation",CSV,https://www.sec.gov/Archives/edgar/data/1024401/0001024401-01-500010.txt,"As-reported, USD millions. Source: FY2000 10-K (filed 2001-04-02) comparative column. SGA=Operating expenses line (no separate SG&A). Receivables=trade receivables. Securities blank. Baseline.",40112,34761,3030,7255,10681,,33381,870,3045,6759,7151,893,1228,23811,2698,802,9570,705,104,656
ENRON,Enron Corp,ENE,2000,2000-12-31,Fraud,"SPEs / mark-to-market revenue inflation",CSV,https://www.sec.gov/Archives/edgar/data/1024401/0001024401-01-500010.txt,"As-reported, USD millions. Source: Enron FY2000 10-K (last full annual before Dec-2001 collapse). Revenue 40B->101B; trade receivables 3.0B->10.4B. TotalLiabilities derived = Assets-Equity.",100789,94517,10396,30381,11743,,65503,855,3184,28406,8550,979,4779,54033,3226,1953,11470,736,434,838
WORLDCOM,WorldCom Inc,WCOM,2000,2000-12-31,Fraud,"Line-cost capitalization (expenses booked as assets)",CSV,https://www.sec.gov/Archives/edgar/data/723527/0001005477-02-001226.txt,"As-reported, USD millions. Source: FY2001 10-K405 (filed 2002-03-13) comparative column. COGS=Line costs. TotalLiabilities derived = Assets-Equity. Baseline.",39090,15462,6815,9755,37423,,98903,4878,10597,17673,17696,4153,7666,43494,3160,8153,55409,2888,3025,970
WORLDCOM,WorldCom Inc,WCOM,2001,2001-12-31,Fraud,"Line-cost capitalization (expenses booked as assets)",CSV,https://www.sec.gov/Archives/edgar/data/723527/0001005477-02-001226.txt,"As-reported, USD millions. ~$3.8B line costs improperly capitalized into PP&E. COGS=Line costs. Shares 2001 combine WorldCom+MCI tracking classes. Fraud is expense-side, not receivables.",35179,14739,5308,9205,38809,,103914,5880,11046,9210,30038,1501,7994,45984,4400,3514,57930,3086,927,1533
SUNBEAM,Sunbeam Corp,SOC,1996,1996-12-29,Fraud,"Channel stuffing / cookie-jar reserves",CSV,https://apps.kelley.iu.edu/Beneish/Content/Examples/SUNBEAMCase.pdf,"As-PREVIOUSLY-REPORTED (cooked) figures, USD thousands. Source: Beneish Sunbeam case Exhibit I (= 10-K405 filed 1998-10-12, EDGAR accn 0000950170-98-000413, CIK 3662). Baseline year. Securities & shares not separately reported (left blank).",984236,900573,213438,624163,220088,,1072709,47429,214029,271583,201115,-228262,14163,677457,35118,-285235,395252,,-105890,13588
SUNBEAM,Sunbeam Corp,SOC,1997,1997-12-28,Fraud,"Channel stuffing / cookie-jar reserves",CSV,https://apps.kelley.iu.edu/Beneish/Content/Examples/SUNBEAMCase.pdf,"As-PREVIOUSLY-REPORTED (cooked) figures, USD thousands. Bill-and-hold revenue & under-accrued costs. TotalLiabilities derived = Assets - Equity. SEC AAER 1393.",1168182,837683,295550,658005,240897,,1120284,38577,131056,198099,194580,109415,-8249,588347,141134,199443,531937,,66152,11381
SUNBEAM_RESTATED,Sunbeam Corp (restated),SOC,1996,1996-12-29,Control,"Restated/corrected figures (negative control)",CSV,https://apps.kelley.iu.edu/Beneish/Content/Examples/SUNBEAMCase.pdf,"As-RESTATED (corrected) figures, USD thousands. Source: Beneish Sunbeam case Exhibit I. Same company as SUNBEAM, books cleaned. Baseline.",984236,896938,209754,601597,229393,,1059448,47429,221655,241745,201115,-208481,14163,644415,54899,-244479,415033,,-91625,13588
SUNBEAM_RESTATED,Sunbeam Corp (restated),SOC,1997,1997-12-28,Control,"Restated/corrected figures (negative control)",CSV,https://apps.kelley.iu.edu/Beneish/Content/Examples/SUNBEAMCase.pdf,"As-RESTATED (corrected) figures, USD thousands. Expected M-Score below -2.22 (NOT flagged) vs cooked SUNBEAM (flagged). TotalLiabilities derived = Assets - Equity.",1073090,830956,228460,602242,249524,,1058928,39757,152653,233127,194580,38301,-6043,586849,89801,104063,472079,,40352,11381
LEHMAN,Lehman Brothers Holdings,LEH,2006,2006-11-30,Distress,"Repo 105 off-balance-sheet leverage",CSV,https://www.sec.gov/Archives/edgar/data/806085/000110465908005476/a08-3530_110k.htm,"As-reported, USD millions. Source: FY2007 10-K Selected Financial Data. Broker-dealer: NO classified balance sheet so CurrentAssets/Liab/COGS/PPE/Receivables N/A (blank). Sales=Net revenues. EBIT=pretax income. Leverage 26.2x. Baseline.",17583,,,,,,503545,,,,81178,4007,,484354,,5905,19191,543,1945,29126
LEHMAN,Lehman Brothers Holdings,LEH,2007,2007-11-30,Distress,"Repo 105 off-balance-sheet leverage",CSV,https://www.sec.gov/Archives/edgar/data/806085/000110465908005476/a08-3530_110k.htm,"As-reported, USD millions. Leverage 30.7x (assets 691B / equity 22.5B). MODELS DO NOT VALIDLY APPLY to financial institutions (Altman excluded them); true signal is raw leverage, not Z/M. Low coverage is expected & correct.",19257,,,,,,691063,,,,123150,4192,,668573,,6013,22490,540.6,1821,39746
